Place,Date,Class,Description
"Baldwin County, Alabama",November 2021,(Class B), - LAST SUNDAY: Possible road crossing sighting of a sasquatch 5 miles NE of Gulf Shores
"Baldwin County, Alabama",September 1979,(Class A), - Man recalls a sighting after Hurricane Frederic north of Mobile
"Barbour County, Alabama",January 1980,(Class A), - Motorists pulled over on a rural highway at night describe standoff in headlights east of Clayton
"Bibb County, Alabama",August 1987,(Class B), - Rescue workers describes possible stalking on the Cahaba River outside Montevallo
"Blount County, Alabama",Fall 1998,(Class B), - Two large hairy figures spottied at dawn outside Blountsville
"Blount County, Alabama",Summer 1975,(Class A), - Recollection of a roadside sighting of a white Bigfoot near Blount Springs
"Blount County, Alabama",Fall 2003,(Class B), - Possible daylight sighting near freeway outside Birmingham
"Blount County, Alabama",Summer 1975,(Class C), - Two separate sighting reports of a creature
"Cherokee County, Alabama",June 2014,(Class A), - Motorist has a daylight sighting on Hwy. 9 east of Cedar Bluff
"Chilton County, Alabama",October 2013,(Class A), - Late afternoon sighting by a bow hunter in his tree stand south of Clanton
"Chilton County, Alabama",May 2000,(Class A), - Daylight sighting while riding ATV on his private property outside Verbena
"Clarke County, Alabama",July 2015,(Class A), - Close observation of a Sasquatch on a front porch at night near Gainestown
"Clarke County, Alabama",October 2001,(Class B), - Two friends have a possible nighttime sighting on a rural road outside Madison
"Clarke County, Alabama",September 2002,(Class B), - Possible ongoing activty in a rural community near Chance
"Clarke County, Alabama",December 1996,(Class A)," - Motorist sees Bigfoot like creature, hears scream"
"Clay County, Alabama",November 2013,(Class B), - Daytime road crossing seen near Ashland
"Clay County, Alabama",January 2008,(Class B), - Camper Awakened by Loud Wood Knocks in Talladega National Forrest
"Cleburne County, Alabama",February 2023,(Class A)," - Daylight sighting, 2 witnesses, outside Heflin 10 miles from GA border off I-20"
"Cleburne County, Alabama",June 2020,(Class A), - Sighting of a Sasquatch crossing forest road off I-20 near AL/GA state border.
"Cleburne County, Alabama",September 1994,(Class B), - Husband and wife hear scream while fishing
"Coffee County, Alabama",January 2013,(Class A), - Motorist observes a tall biped with an ape-like face while driving at dusk near Ariton
"Colbert County, Alabama",November 2013,(Class B), - Deer hunter reports possible activity in the Freedom Hills Management Area near Cherokee
"Colbert County, Alabama",January 2005,(Class A), - Daylight sighting of a Bigfoot outside Muscle Shoals
"Colbert County, Alabama","Fall 79, 80, 99",(Class A), - Man has repeated visits at family farm
"Conecuh County, Alabama",August 2004,(Class A), - Property caretaker describes his very close daylight sighting near the Sepulga River
"Conecuh County, Alabama",February 2000,(Class A), - Nighttime sighting by two teens in southern Conecuh County
"Covington County, Alabama",March 2004,(Class B), - Possible repeat approaches to a rural residence at night outside OPP
"Covington County, Alabama",October 1978,(Class A), - Daylight observation remembered of a Bigfoot holding a baby pig near Andalusia
"Cullman County, Alabama",June 2014,(Class A), - Motorist observes a Bigfoot chasing a deer at night near Bremen
"Cullman County, Alabama",January 2013,(Class A), - Deer hunter hears then sees large hair-covered biped near the Morgan County line
"Dale County, Alabama",April 2011,(Class B), - Possible late night encounter outside a home near Pinckard
"Dale County, Alabama",April 1992,(Class B), - Possible daylight encounter on Fort Rucker Army Base
"Dallas County, Alabama",July 1985,(Class A), - Daylight road crossing sighting near Orrville
"Escambia County, Alabama",Fall 1983,(Class A), - Memory told of a close encounter while riding a bike as a teen in Brewton
"Etowa County, Alabama",January 2013,(Class B), - Motorist has two possible sightings on the Appalachian Hwy. near Gadsden
"Etowa County, Alabama",November 2012,(Class A), - Multiple sightings close to Lookout Mountain near Gadsden
"Franklin County, Alabama",December 2007,(Class B), - Deer hunter hears possible vocalizations and watches a tall dark figure near Russellville
"Franklin County, Alabama",December 2002;2006,(Class A), - Daylight sighting by hunter near the Alabama / Mississippi border
"Henry County, Alabama",Summer 1953,(Class A)," - Memory told of a close up daylight encounter with two, possibly young, Bigfoots near Abbeville"
"Henry County, Alabama",September 2014,(Class A), - Nighttime sighting by a motorist west of Newville
"Jackson County, Alabama",August 2013,(Class B), - Possible encounter while fishing Lake Guntersville at night
"Jackson County, Alabama",December 2012,(Class B), - Large black figure seen on a ridgeline near Hytop
"Jefferson County, Alabama",October 2013,(Class A), - Night fisherman first hears and then observes two Bigfoots in his spotlight near Birmingham
"Jefferson County, Alabama",September 1979,(Class A), - Hiker has daylight sighting near Warrior.
"Lamar County, Alabama",May 2012,(Class A), - Daylight road crossing near Vernon
"Lauderdale County, Alabama",April 1988,(Class B), - Recollection of seeing a hair covered creature squatting next to a road near Waterloo
"Lee County, Alabama",January 2007,(Class B), - Couple reports possible stalking near abandoned rural graveyard outside town of Valley
"Lee County, Alabama",January 2000,(Class A), - Four youths have harrowing experience in Alabama backwoods. 
"Lee County, Alabama",May 2002,(Class B), - Possible stalking of couple parked at power line cut outside Opelika
"Limestone County, Alabama",July 2006,(Class B), - Possible vocalizations reported near Tanner
"Limestone County, Alabama",Fall 2001,(Class A), - Man on his way to work  sees sasquatch crossing road in his headlights
"Limestone County, Alabama",August 1993,(Class A), - Young man has sighting near home
"Limestone County, Alabama",Spring 1978,(Class A)," - Person fishing recounts story of his encounter with a large, bipedal creature that was wading in the water"
"Lowndes County, Alabama",April 2001,(Class A), - Early morning sighting by a fisherman south of Montgomery
"Macon County, Alabama",January 2007,(Class A), - Sighting by duck hunters in swamp area within Tuskegee National Forest
"Madison County, Alabama",February 2009,(Class A), - Exec on business trip has sighting from balcony of hotel near Huntsville
"Madison County, Alabama",Summer 1949,(Class A), - Recollection of an afternoon sighting on Green Mountain
"Madison County, Alabama",November 1983,(Class A), - A resident's early evening sighting next to his home near New Market
"Marshall County, Alabama",Summer 1992,(Class A), - Evening sighting by family driving by Guntersville Lake
"Mobile County, Alabama",Summer 1997,(Class B), - Nighttime sighting by motorists outside Grand Bay
"Monroe County, Alabama",February 2012,(Class B), - Possible vocalization brings attention to a large figure just outside a home near Uriah
"Morgan County, Alabama",March 2013,(Class A), - Nighttime encounters close to home near Morgan
"Morgan County, Alabama",August 2012,(Class A), - Kayaker has rocks thrown and observes the culprit near Union Grove
"Morgan County, Alabama",November 2008,(Class B), - Ohio howl type vocalizations for several hours in early morning near Lacey's Spring
"Morgan County, Alabama",October 2000,(Class A), - Daylight sighting by husband and wife near home near Valhermosa Springs
"Morgan County, Alabama",Summer 2000,(Class A), - Daylight sighting by lady while her husband was clearing trees
"Pickens County, Alabama",June 1958,(Class A), - Daylight sighting at eastern dike of East Lagoon in Aliceville
"Pickens County, Alabama",November 1980,(Class A)," - Witnesses spot a tall, brown object moving on a hill, also reported are moans and a sighting where red eyes are described"
"Pike County, Alabama",April 1994,(Class B), - Possible stalking on mountain outside Troy
"Russell County, Alabama",September 1981 and 1982,(Class A)," - Man and witnesses have two seperate sighting, 1st while fishing, 2nd while driving"
"Shelby County, Alabama",March 2004,(Class A), - Nighttime Sighting on County Road
"St. Clair County, Alabama",July 2007,(Class A), - Roadside Sighting near Moody
"St. Clair County, Alabama",February 2005,(Class B), - Hikers find footprints near Pell City.
"St. Clair County, Alabama",October 1986,(Class A), - Adult recalls childhood sighting at dusk near Moody
"Talladega County, Alabama",June 2014,(Class B), - Strange occurrences are ongoing at a rural home outside Talladega
"Talladega County, Alabama",June 2005,(Class A), - Sighting by a group of campers in Cheaha Mountain State Park
"Talladega County, Alabama",July 2000,(Class B), - Large footprint found in a sandy creek bank near Talladega National Forest
"Talladega County, Alabama",Fall 1999,(Class A), - Woman recalls encountering a creature while driving through Talladega National Forest
"Tallapoosa County, Alabama",Summer 1967,(Class A), - Memory told of a close dalylight observation outside Alexander City
"Tuscaloosa County, Alabama",April 2014,(Class A), - Sightings at night in the same area off Bone Camp Road near Northport
"Tuscaloosa County, Alabama",March 2012,(Class B), - Unexplained happenings on a farm outside Tuscaloosa
"Tuscaloosa County, Alabama",August 2003,(Class A), - Tracks and feces found in freshly turned field
"Tuscaloosa County, Alabama",June 2003,(Class A), - Lady sees large hairy creature on the side of the road
"Tuscaloosa County, Alabama",July 1999,(Class A)," - Two outdoorsman fishing, loud vocalizations, footsteps heard"
"Walker County, Alabama",March 2010,(Class A), - Motorist sights dirty-white upright creature near the town of Kansas
"Walker County, Alabama",Fall 1990,(Class A), - Hunters observe creature walking in the woods
"Walker County, Alabama",Spring 1990,(Class A), - Woman recounts childhood sighting of a white creature near the town of Kansas
"Walker County, Alabama",July 1988,(Class B), - Memory of 3 hairy fingers sliding under the front door outside Nauvoo
"Washington County, Alabama",April 2020,(Class A), - Afternoon sighting of a bigfoot by motorist on Hwy 17 just north of Deer Park
"Washington County, Alabama",February 2008,(Class A), - Nighttime sighting of a tall blonde biped crossing Hwy. 45 north of Fruitdale
"Washington County, Alabama",January 1997,(Class A)," - Motorist confronted by hairy, man-like creature on roadside"
"Wilcox County, Alabama",Winter 1998 or 19,(Class B), - Wood knocks heard by hunter outside Camden
"Winston County, Alabama",December 2013,(Class A), - Multiple encounters at a home near Haleyville
"Winston County, Alabama",Summer 2010,(Class B), - Outdoorsman experiences vocalizations and rock throwing on the Sipsey River.
"Autauga County, Alabama", 1985,(Class B), - Night hunters hear strange screams in the woods
"Baldwin County, Alabama",November 2021,(Class B), - LAST SUNDAY: Possible road crossing sighting of a sasquatch 5 miles NE of Gulf Shores
"Baldwin County, Alabama",September 1979,(Class A), - Man recalls a sighting after Hurricane Frederic north of Mobile
"Barbour County, Alabama",January 1980,(Class A), - Motorists pulled over on a rural highway at night describe standoff in headlights east of Clayton
"Bibb County, Alabama",August 1987,(Class B), - Rescue workers describes possible stalking on the Cahaba River outside Montevallo
"Blount County, Alabama",Fall 1998,(Class B), - Two large hairy figures spottied at dawn outside Blountsville
"Blount County, Alabama",Summer 1975,(Class A), - Recollection of a roadside sighting of a white Bigfoot near Blount Springs
"Blount County, Alabama",Fall 2003,(Class B), - Possible daylight sighting near freeway outside Birmingham
"Blount County, Alabama",Summer 1975,(Class C), - Two separate sighting reports of a creature
"Cherokee County, Alabama",June 2014,(Class A), - Motorist has a daylight sighting on Hwy. 9 east of Cedar Bluff
"Chilton County, Alabama",October 2013,(Class A), - Late afternoon sighting by a bow hunter in his tree stand south of Clanton
"Chilton County, Alabama",May 2000,(Class A), - Daylight sighting while riding ATV on his private property outside Verbena
"Clarke County, Alabama",July 2015,(Class A), - Close observation of a Sasquatch on a front porch at night near Gainestown
"Clarke County, Alabama",October 2001,(Class B), - Two friends have a possible nighttime sighting on a rural road outside Madison
"Clarke County, Alabama",September 2002,(Class B), - Possible ongoing activty in a rural community near Chance
"Clarke County, Alabama",December 1996,(Class A)," - Motorist sees Bigfoot like creature, hears scream"
"Clay County, Alabama",November 2013,(Class B), - Daytime road crossing seen near Ashland
"Clay County, Alabama",January 2008,(Class B), - Camper Awakened by Loud Wood Knocks in Talladega National Forrest
"Cleburne County, Alabama",February 2023,(Class A)," - Daylight sighting, 2 witnesses, outside Heflin 10 miles from GA border off I-20"
"Cleburne County, Alabama",June 2020,(Class A), - Sighting of a Sasquatch crossing forest road off I-20 near AL/GA state border.
"Cleburne County, Alabama",September 1994,(Class B), - Husband and wife hear scream while fishing
"Coffee County, Alabama",January 2013,(Class A), - Motorist observes a tall biped with an ape-like face while driving at dusk near Ariton
"Colbert County, Alabama",November 2013,(Class B), - Deer hunter reports possible activity in the Freedom Hills Management Area near Cherokee
"Colbert County, Alabama",January 2005,(Class A), - Daylight sighting of a Bigfoot outside Muscle Shoals
"Colbert County, Alabama","Fall 79, 80, 99",(Class A), - Man has repeated visits at family farm
"Conecuh County, Alabama",August 2004,(Class A), - Property caretaker describes his very close daylight sighting near the Sepulga River
"Conecuh County, Alabama",February 2000,(Class A), - Nighttime sighting by two teens in southern Conecuh County
"Covington County, Alabama",March 2004,(Class B), - Possible repeat approaches to a rural residence at night outside OPP
"Covington County, Alabama",October 1978,(Class A), - Daylight observation remembered of a Bigfoot holding a baby pig near Andalusia
"Cullman County, Alabama",June 2014,(Class A), - Motorist observes a Bigfoot chasing a deer at night near Bremen
"Cullman County, Alabama",January 2013,(Class A), - Deer hunter hears then sees large hair-covered biped near the Morgan County line
"Dale County, Alabama",April 2011,(Class B), - Possible late night encounter outside a home near Pinckard
"Dale County, Alabama",April 1992,(Class B), - Possible daylight encounter on Fort Rucker Army Base
"Dallas County, Alabama",July 1985,(Class A), - Daylight road crossing sighting near Orrville
"Escambia County, Alabama",Fall 1983,(Class A), - Memory told of a close encounter while riding a bike as a teen in Brewton
"Etowa County, Alabama",January 2013,(Class B), - Motorist has two possible sightings on the Appalachian Hwy. near Gadsden
"Etowa County, Alabama",November 2012,(Class A), - Multiple sightings close to Lookout Mountain near Gadsden
"Franklin County, Alabama",December 2007,(Class B), - Deer hunter hears possible vocalizations and watches a tall dark figure near Russellville
"Franklin County, Alabama",December 2002;2006,(Class A), - Daylight sighting by hunter near the Alabama / Mississippi border
"Henry County, Alabama",Summer 1953,(Class A)," - Memory told of a close up daylight encounter with two, possibly young, Bigfoots near Abbeville"
"Henry County, Alabama",September 2014,(Class A), - Nighttime sighting by a motorist west of Newville
"Jackson County, Alabama",August 2013,(Class B), - Possible encounter while fishing Lake Guntersville at night
"Jackson County, Alabama",December 2012,(Class B), - Large black figure seen on a ridgeline near Hytop
"Jefferson County, Alabama",October 2013,(Class A), - Night fisherman first hears and then observes two Bigfoots in his spotlight near Birmingham
"Jefferson County, Alabama",September 1979,(Class A), - Hiker has daylight sighting near Warrior.
"Lamar County, Alabama",May 2012,(Class A), - Daylight road crossing near Vernon
"Lauderdale County, Alabama",April 1988,(Class B), - Recollection of seeing a hair covered creature squatting next to a road near Waterloo
"Lee County, Alabama",January 2007,(Class B), - Couple reports possible stalking near abandoned rural graveyard outside town of Valley
"Lee County, Alabama",January 2000,(Class A), - Four youths have harrowing experience in Alabama backwoods. 
"Lee County, Alabama",May 2002,(Class B), - Possible stalking of couple parked at power line cut outside Opelika
"Limestone County, Alabama",July 2006,(Class B), - Possible vocalizations reported near Tanner
"Limestone County, Alabama",Fall 2001,(Class A), - Man on his way to work  sees sasquatch crossing road in his headlights
"Limestone County, Alabama",August 1993,(Class A), - Young man has sighting near home
"Limestone County, Alabama",Spring 1978,(Class A)," - Person fishing recounts story of his encounter with a large, bipedal creature that was wading in the water"
"Lowndes County, Alabama",April 2001,(Class A), - Early morning sighting by a fisherman south of Montgomery
"Macon County, Alabama",January 2007,(Class A), - Sighting by duck hunters in swamp area within Tuskegee National Forest
"Madison County, Alabama",February 2009,(Class A), - Exec on business trip has sighting from balcony of hotel near Huntsville
"Madison County, Alabama",Summer 1949,(Class A), - Recollection of an afternoon sighting on Green Mountain
"Madison County, Alabama",November 1983,(Class A), - A resident's early evening sighting next to his home near New Market
"Marshall County, Alabama",Summer 1992,(Class A), - Evening sighting by family driving by Guntersville Lake
"Mobile County, Alabama",Summer 1997,(Class B), - Nighttime sighting by motorists outside Grand Bay
"Monroe County, Alabama",February 2012,(Class B), - Possible vocalization brings attention to a large figure just outside a home near Uriah
"Morgan County, Alabama",March 2013,(Class A), - Nighttime encounters close to home near Morgan
"Morgan County, Alabama",August 2012,(Class A), - Kayaker has rocks thrown and observes the culprit near Union Grove
"Morgan County, Alabama",November 2008,(Class B), - Ohio howl type vocalizations for several hours in early morning near Lacey's Spring
"Morgan County, Alabama",October 2000,(Class A), - Daylight sighting by husband and wife near home near Valhermosa Springs
"Morgan County, Alabama",Summer 2000,(Class A), - Daylight sighting by lady while her husband was clearing trees
"Pickens County, Alabama",June 1958,(Class A), - Daylight sighting at eastern dike of East Lagoon in Aliceville
"Pickens County, Alabama",November 1980,(Class A)," - Witnesses spot a tall, brown object moving on a hill, also reported are moans and a sighting where red eyes are described"
"Pike County, Alabama",April 1994,(Class B), - Possible stalking on mountain outside Troy
"Russell County, Alabama",September 1981 and 1982,(Class A)," - Man and witnesses have two seperate sighting, 1st while fishing, 2nd while driving"
"Shelby County, Alabama",March 2004,(Class A), - Nighttime Sighting on County Road
"St. Clair County, Alabama",July 2007,(Class A), - Roadside Sighting near Moody
"St. Clair County, Alabama",February 2005,(Class B), - Hikers find footprints near Pell City.
"St. Clair County, Alabama",October 1986,(Class A), - Adult recalls childhood sighting at dusk near Moody
"Talladega County, Alabama",June 2014,(Class B), - Strange occurrences are ongoing at a rural home outside Talladega
"Talladega County, Alabama",June 2005,(Class A), - Sighting by a group of campers in Cheaha Mountain State Park
"Talladega County, Alabama",July 2000,(Class B), - Large footprint found in a sandy creek bank near Talladega National Forest
"Talladega County, Alabama",Fall 1999,(Class A), - Woman recalls encountering a creature while driving through Talladega National Forest
"Tallapoosa County, Alabama",Summer 1967,(Class A), - Memory told of a close dalylight observation outside Alexander City
"Tuscaloosa County, Alabama",April 2014,(Class A), - Sightings at night in the same area off Bone Camp Road near Northport
"Tuscaloosa County, Alabama",March 2012,(Class B), - Unexplained happenings on a farm outside Tuscaloosa
"Tuscaloosa County, Alabama",August 2003,(Class A), - Tracks and feces found in freshly turned field
"Tuscaloosa County, Alabama",June 2003,(Class A), - Lady sees large hairy creature on the side of the road
"Tuscaloosa County, Alabama",July 1999,(Class A)," - Two outdoorsman fishing, loud vocalizations, footsteps heard"
"Walker County, Alabama",March 2010,(Class A), - Motorist sights dirty-white upright creature near the town of Kansas
"Walker County, Alabama",Fall 1990,(Class A), - Hunters observe creature walking in the woods
"Walker County, Alabama",Spring 1990,(Class A), - Woman recounts childhood sighting of a white creature near the town of Kansas
"Walker County, Alabama",July 1988,(Class B), - Memory of 3 hairy fingers sliding under the front door outside Nauvoo
"Washington County, Alabama",April 2020,(Class A), - Afternoon sighting of a bigfoot by motorist on Hwy 17 just north of Deer Park
"Washington County, Alabama",February 2008,(Class A), - Nighttime sighting of a tall blonde biped crossing Hwy. 45 north of Fruitdale
"Washington County, Alabama",January 1997,(Class A)," - Motorist confronted by hairy, man-like creature on roadside"
"Wilcox County, Alabama",Winter 1998 or 19,(Class B), - Wood knocks heard by hunter outside Camden
"Winston County, Alabama",December 2013,(Class A), - Multiple encounters at a home near Haleyville
"Winston County, Alabama",Summer 2010,(Class B), - Outdoorsman experiences vocalizations and rock throwing on the Sipsey River.
"Baxter County, Arkansas",February 2009,(Class A), - Motorist has close encounter on Mallard Point Road near Lake Norfork
"Baxter County, Arkansas",Winter 2003,(Class A), - Two fishermen have close-up sighting while driving home at night from Norfork Lake
"Baxter County, Arkansas",June 1997,(Class B), - Three fisherman hear thrashing about and loud vocalizations
"Baxter County, Arkansas",May 1995,(Class A), - Backyard sighting near Mountain Home. 
"Baxter County, Arkansas",June 1980,(Class B), - Youth hears vocalizations and is trailed while fishing on White River
"Baxter County, Arkansas",Fall 1972,(Class A), - Teenager has sighting near Ozark National Forest
"Benton County, Arkansas",October 1981,(Class A), - Motorist crossing a bridge sees sasquatch digging in the dirt below 
"Benton County, Arkansas",Spring 1994,(Class A), - Man riding 4-wheeler observes a bigfoot reaching into a tree
"Benton County, Arkansas",November 2000,(Class B)," - November, 2000, Arkansas, Benton"
"Carroll County, Arkansas",June 2001,(Class B), - Vocalizations heard by multiple witnesses
"Carroll County, Arkansas",May 1997,(Class A), - Father and two sons see a sasquatch near Holiday Island
"Carroll County, Arkansas",July 1994,(Class A), - Roadside sighting near Eureka Springs 
"Chicot County, Arkansas",July 2012,(Class A), - Motorist has nighttime sighting near Lake Village
"Clark County, Arkansas",September 1996,(Class A), - A daylight sighting in a cow pasture. The witness also mentioned that some of his cows have been killed
"Clark County, Arkansas",April 1984,(Class A), - Man working in wooded area sees bipedal animal standing on railroad tracks
"Cleveland County, Arkansas",June 2003,(Class A)," - Man sees a large, hairy upright creature in the headlights of his car near Kingsland"
"Cleveland County, Arkansas",July 2001,(Class A)," - Daylight sighting outside rural home in small community of Herbine, south of Rison"
"Conway County, Arkansas",Summer 2017,(Class A), - Late night sightings by resident near two homes in the Macedonia area
"Crawford County, Arkansas",September 1985,(Class A), - Man recalls incident while camping as a teenager near Cedarville
"Crittenden County, Arkansas",June 2006,(Class A)," - Motorists (father & son) close range, daylight, road crossing sighting along Mounds Rd. outside West Mephis"
"Crittenden County, Arkansas",October 1983,(Class B), - Loud screams menace hunters along Mississippi River around 4:00 am 
"Crittenden County, Arkansas",June 1980,(Class A), - Possible sighting by fisherman at Blue Lake.
"Desha County, Arkansas",May 2001,(Class A), - Late night sighting by motorist
"Desha County, Arkansas",June 1979,(Class A), - Two witnesses observe a Sasquatch at dusk in the White River National Wildlife Refuge
"Drew County, Arkansas",December 2011,(Class B), - Hunter finds his deer kill moved near Monticello
"Faulkner County, Arkansas",April 2010,(Class B), - Fisherman finds possible footprints near Grassy Lake (w/photo)
"Fulton County, Arkansas",January 2008,(Class A), - Man has a close daytime encounter with a probable Bigfoot family outside Hardy
"Fulton County, Arkansas",March 1997,(Class A), - Motorist has nighttime sighting of bipedal animal at roadside
"Garland County, Arkansas",September 1992,(Class A), - Woman remembers she and a male friend watching an upright creature walking on the edge of moonlit Lake Hamilton
"Grant County, Arkansas",April 1973,(Class A), - Two young hunters hide and watch hairy bipedal animal walking near the Jenkins Ferry Battleground Historical Monument
"Greene County, Arkansas",January 1988,(Class A), - Large bipedal animal observes couple parking behind school gymnasium
"Hempstead County, Arkansas",May 1978,(Class A), - Woman experienced terrifying close encounter as a child and later as a teenager.
"Hot Spring County, Arkansas",April 2012,(Class B), - Man and wife experience intimidation behavior near Malvern
"Hot Spring County, Arkansas",December 2005,(Class A), - Early morning sighting by resident along Highway 7 near Bismarck.
"Hot Spring County, Arkansas",October 2005,(Class B), - Two sets of tracks found near Lake DeGray.
"Hot Spring County, Arkansas",February 1992,(Class B), - Vocalizations heard on remote piece of Arkansas property.
"Hot Spring County, Arkansas",October 1998,(Class A)," - From top of hill, hunter observes bipedal creature following a fence row"
"Hot Spring County, Arkansas",October 1996,(Class A), - Nightime sighting by motorists on Hwy 7 North
"Independence County, Arkansas",November 2011,(Class A)," - Mother & daughter have unusual, close-up encounter on the road at night near Newark"
"Independence County, Arkansas",December 2005,(Class B), - Possible vocalizations near Salado.
"Independence County, Arkansas",November 1999,(Class A), - Duck hunter observes apelike creature across White River
"Jackson County, Arkansas",July 1986,(Class A), - Animal peers into youngster's bedroom window
"Lee County, Arkansas",Fall 1961,(Class A), - Daylight sighting by two sisters near their farm in the early 1960s
"Little River County, Arkansas",June 1990,(Class A), - Night fisherman sees a reddish Sasquatch running near Red River
"Little River County, Arkansas",August 1969,(Class A), - Family has multiple encounters with white bigfoot creature
"Logan County, Arkansas",June 1986,(Class A), - Man tells of two-legged animal crossing road in front of his car east of Paris
"Logan County, Arkansas",August 1975,(Class A), - Daylight sighting of grey-white Sasquatch ~15mi west of Russellville
"Logan County, Arkansas",Spring 1920,(Class C), - 1920's sighting Southest of Booneville
"Lonoke County, Arkansas",October 1943,(Class A), - Bus driver encounters ape like creature during an unscheduled stop
"Madison County, Arkansas",August 2002,(Class B), - Family describes the strange activity at their former rural home near Wesley
"Madison County, Arkansas", 1983,(Class C)," - Backpackers find long, oval shaped nests, three miles from camp"
"Madison County, Arkansas",Summer 1981,(Class A), - Two young men have a sighting while spelunking near Huntsville. 
